date,pm2.5,pm10,o3,no2,so2,co
2017-07-21,,,,15,,
2017-07-22,,,,15,,
2017-07-23,,,,11,,
2017-07-24,,,,12,,
2017-07-25,,,,17,,
2017-07-26,,,,11,,
2017-07-27,,,,17,,
2017-07-28,,,,13,,
2017-07-29,,,106,14,,
2017-07-30,,,159,17,,
2017-07-31,,,159,15,,
2017-08-01,,,112,21,,
2017-08-02,,,115,17,,
2017-08-03,,,,,,
2017-08-04,,,152,11,,
2017-08-05,,,134,16,,
2017-08-06,,,52,18,,
2017-08-07,,,,,,
2017-08-08,,9,138,14,,
2017-08-09,22,8,207,16,,
2017-08-10,26,,105,27,,
2017-08-11,,,,,,
2017-08-12,,7,,,,
2017-08-13,28,6,190,10,,
2017-08-14,26,6,226,12,,
2017-08-15,23,5,212,14,,
2017-08-16,20,5,225,11,,
2017-08-17,19,5,178,11,,
2017-08-18,20,4,163,11,,
2017-08-19,16,2,151,11,,
2017-08-20,8,,15,8,,
2017-08-21,,,,,,
2017-08-22,,9,,,17,
2017-08-23,32,9,93,15,16,
2017-08-24,28,8,136,13,11,
2017-08-25,24,6,44,19,14,
2017-08-26,20,3,,,15,
2017-08-27,14,4,,,15,
2017-08-28,17,4,,,18,
2017-08-29,16,5,,,20,
2017-08-30,20,7,,,19,
2017-08-31,24,5,,,17,
2017-09-01,20,6,,,20,
2017-09-02,18,5,,,15,
2017-09-03,19,5,,,14,
2017-09-04,20,6,,,16,
2017-09-05,22,6,,,11,
2017-09-06,24,,,,,
2017-09-07,,,,,,
2017-09-08,,,,,,
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,,,,,,
2017-09-12,,,,,,
2017-09-13,,,,,,
2017-09-14,,,,,,
2017-09-15,,,,,,
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,,,,,,
2017-09-19,,10,,,12,
2017-09-20,43,13,,,13,
2017-09-21,53,12,,,12,
2017-09-22,49,15,,,13,
2017-09-23,58,11,,,14,
2017-09-24,41,10,,,13,
2017-09-25,41,13,,,17,
2017-09-26,48,6,,,14,
2017-09-27,28,9,,,17,
2017-09-28,35,8,,,12,
2017-09-29,30,9,,,9,
2017-09-30,39,,,,,
2017-10-01,,,,,,
2017-10-02,,,,,,
2017-10-03,,,,,,
2017-10-04,,,,,,
2017-10-05,,,,,,
2017-10-06,,,,,,
2017-10-07,,8,,,17,
2017-10-08,33,,,,,
2017-10-09,,,,,,
2017-10-10,,,,,,
2017-10-11,,16,,,28,
2017-10-12,59,9,,,32,
2017-10-13,38,15,,,19,
2017-10-14,57,19,,,13,
2017-10-15,67,14,,,12,
2017-10-16,56,7,,,9,
2017-10-17,32,3,,,9,
2017-10-18,11,4,,,16,
2017-10-19,19,10,,,9,
2017-10-20,44,,,,,
2017-10-21,,,,,,
2017-10-22,,,,,,
2017-10-23,,16,,,12,
2017-10-24,62,24,,,22,
2017-10-25,80,16,,,11,
2017-10-26,60,16,,,11,
2017-10-27,61,28,,,19,
2017-10-28,89,14,,,25,
2017-10-29,46,2,,,21,
2017-10-30,9,1,,,9,
2017-10-31,6,1,,,6,
2017-11-01,4,1,,,10,
2017-11-02,2,1,,,19,
2017-11-03,3,2,,,10,
2017-11-04,6,1,,,5,
2017-11-05,4,1,,,5,
2017-11-06,3,1,,,8,
2017-11-07,3,1,,,13,
2017-11-08,1,1,,,27,
2017-11-09,1,1,,,21,
2017-11-10,2,1,,,20,
2017-11-11,3,1,,,22,
2017-11-12,3,1,,,20,
2017-11-13,6,1,,,29,
2017-11-14,5,,,,,
2017-11-15,,,,,,
2017-11-16,,13,,,18,
2017-11-17,53,17,,,25,
2017-11-18,64,17,,,21,
2017-11-19,63,10,,,14,
2017-11-20,45,4,,,18,
2017-11-21,17,4,,,24,
2017-11-22,20,1,,,16,
2017-11-23,5,,,,,
2017-11-24,,2,,,13,
2017-11-25,6,1,,,12,
2017-11-26,6,2,,,13,
2017-11-27,8,8,,,20,
2017-11-28,33,8,,,25,
2017-11-29,33,12,,,21,
2017-11-30,49,9,,,23,
2017-12-01,41,11,,,21,
2017-12-02,50,4,,,19,
2017-12-03,17,17,,,21,
2017-12-04,63,20,,,20,
2017-12-05,71,27,,,20,
2017-12-06,86,21,,,20,
